FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,
21.993359,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,-0.06097560975609757,0.0,-0.06097560975609757,0.087890625,0.439453125,
22.013447,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,-0.06097560975609757,0.0,-0.06097560975609757,0.087890625,0.439453125,
22.033498,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,-0.06097560975609757,0.0,-0.06097560975609757,0.087890625,0.439453125,
22.053521,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
22.073515,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
22.093444,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
22.113494,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.0,0.0,-0.06097560975609757,0.087890625,0.439453125,
22.133507,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.0,0.0,-0.06097560975609757,0.087890625,0.439453125,
22.153463,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.26,0.0,0.0,-0.06097560975609757,0.087890625,0.439453125,
22.173586,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.12195121951219513,0.087890625,0.439453125,
22.193608,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.12195121951219513,0.087890625,0.439453125,
22.213472,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.12195121951219513,0.087890625,0.439453125,
22.233456,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
22.253425,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
22.273531,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
22.293573,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,-0.06097560975609757,0.0,0.087890625,0.439453125,
22.313485,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,-0.06097560975609757,0.0,0.087890625,0.439453125,
22.333515,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,-0.06097560975609757,0.0,0.087890625,0.439453125,
22.353598,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
22.37362,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.087890625,0.439453125,
22.393587,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.087890625,0.439453125,
22.413542,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.06097560975609757,-0.06097560975609757,0.0,0.087890625,0.439453125,
22.433663,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.06097560975609757,-0.06097560975609757,0.0,0.087890625,0.439453125,
22.453495,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.06097560975609757,-0.06097560975609757,0.0,0.087890625,0.439453125,
22.473422,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,-0.06097560975609757,0.0,0.06097560975609757,0.087890625,0.439453125,
22.493513,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,-0.06097560975609757,0.0,0.06097560975609757,0.087890625,0.439453125,
22.513552,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.25,-0.06097560975609757,0.0,0.06097560975609757,0.087890625,0.439453125,
