FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,
4.09052,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.05,0.0,0.06097560975609757,0.0,
4.109896,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.05,0.0,0.06097560975609757,0.0,
4.120703,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.06097560975609757,0.0,
4.130978,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,-0.06097560975609757,0.0,0.0,
4.141264,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,-0.06097560975609757,0.0,0.0,
4.153234,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,-0.06097560975609757,0.0,0.0,
4.162693,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,-0.06097560975609757,0.0,0.0,
4.175048,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,-0.06097560975609757,0.0,0.0,
4.195514,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.204526,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.215837,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.225962,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.237797,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.06097560975609757,0.0,-0.06097560975609757,
4.247415,-1.0,354.990234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.99023437500006,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.0,-0.06097560975609757,
4.258102,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.0,-0.06097560975609757,
4.266613,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.0,-0.06097560975609757,
4.27573,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.06097560975609757,0.0,-0.06097560975609757,
4.284579,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
4.294355,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
4.303579,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.312712,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.320576,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.328647,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.33815,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.347991,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.358583,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.38093,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.401803,-1.0,354.990234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.99023437500006,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
4.413723,-1.0,354.990234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.99023437500006,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
4.421872,-1.0,354.990234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.99023437500006,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
4.429011,-1.0,354.990234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.99023437500006,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
4.438444,-1.0,354.99298095703125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.99298095703125,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
4.44615,-1.0,354.990234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.99023437500006,0.0,0.0,0.0,0.0,0.07,-0.06097560975609757,0.0,0.0,
